GameId,English,Chinese,Spanish,French,Italian,German
72,0,1,1,0,1,1
73,1,1,1,0,0,1
74,1,1,1,0,1,1
75,1,1,1,0,1,1
76,0,0,1,0,1,0
77,0,1,1,1,1,1
78,1,0,1,0,1,1
79,1,1,1,0,0,0
80,1,0,0,0,1,0
81,0,1,1,1,1,1
82,1,1,1,1,1,0
83,0,0,1,0,1,0
84,0,1,0,1,0,1
85,1,1,1,0,0,0
86,0,1,1,0,0,0
87,1,1,0,0,0,0
88,1,0,0,0,0,0
89,0,0,0,0,1,0
90,0,1,1,1,0,0
91,0,0,0,1,0,1
92,0,1,1,1,0,1
93,0,0,0,1,1,1
94,0,0,0,1,1,0
95,0,0,0,1,0,0
96,0,0,1,1,1,0
97,1,1,0,1,1,1
98,1,0,0,0,0,0
99,0,0,1,0,0,0
100,1,0,0,1,0,0
101,1,0,1,0,1,0
102,1,1,1,0,1,1
103,0,0,0,0,1,1
104,1,0,1,0,1,0
105,1,0,1,1,1,1
106,0,0,0,0,0,1
107,0,1,1,0,1,0
108,1,1,0,0,1,0
109,0,0,1,1,0,1
110,1,1,1,0,0,0
111,0,0,1,1,1,1
112,0,1,1,1,0,1
113,1,0,0,0,0,1
114,1,1,1,1,1,1
115,0,0,1,0,0,0
116,1,0,1,0,1,1
117,0,0,0,0,1,0
118,1,0,0,1,1,0
119,1,1,0,0,1,0
120,1,1,0,0,1,0
121,0,1,1,0,1,1
122,1,0,0,1,0,1
123,0,1,1,1,1,0
124,0,1,1,0,1,1
125,0,0,1,1,1,1
126,1,0,0,0,0,0
127,0,1,0,1,1,0
128,1,1,0,1,1,1
129,0,1,0,0,1,0
130,1,1,1,1,0,1
131,0,1,1,1,0,0
132,0,1,0,1,1,0
133,1,0,0,1,0,1
134,0,0,0,1,0,0
135,1,1,1,0,1,1
136,1,0,0,0,1,0
137,1,0,1,1,0,1
138,0,1,0,1,1,0
139,1,0,1,1,0,0
140,0,1,1,1,0,1
141,0,1,1,0,1,0
142,1,1,0,0,0,0
143,0,0,1,1,0,0
144,1,1,1,0,0,1
145,1,0,1,0,1,0
146,0,0,1,1,0,1
147,0,1,0,0,0,1
148,0,1,0,0,1,1
149,1,1,1,0,1,1
150,0,1,1,1,0,0
151,1,1,1,1,0,0
152,1,1,1,0,1,0
153,0,1,0,1,1,1
154,1,1,1,0,1,0
155,0,1,1,1,1,0
156,0,0,0,0,0,1
157,1,1,1,1,1,0
158,0,1,0,1,0,0
159,0,0,0,0,0,0
160,0,0,1,1,0,0
161,0,0,0,1,1,1
162,1,1,1,0,0,1
163,1,1,0,1,1,0
164,0,0,1,1,0,0
165,1,0,1,1,1,0
166,0,0,0,1,0,1
167,0,0,1,1,0,1
168,0,1,0,0,1,0
169,1,0,0,1,1,0
170,1,1,1,1,1,0
171,0,0,0,1,0,0
172,0,1,1,0,0,1
173,1,1,1,1,1,0
174,1,0,0,1,1,0
175,0,0,0,0,1,0
176,1,1,0,1,0,1
177,1,0,1,0,0,1
178,1,0,0,1,0,0
179,0,0,0,1,1,0
180,1,1,1,0,0,1
181,0,1,0,1,0,1
182,0,1,0,1,1,1
183,0,1,0,1,0,1
184,1,0,1,0,0,1
185,1,0,1,0,0,1
186,0,0,0,0,1,0
187,0,0,0,0,1,0
188,1,1,0,0,0,0
189,0,0,1,1,0,1
190,1,0,0,1,1,1
191,0,0,1,1,1,1
192,0,1,0,0,0,0
193,1,1,1,0,0,0
194,0,0,0,0,0,1
195,1,0,1,0,0,0
196,1,1,0,1,0,1
197,0,1,1,0,0,0
198,0,1,0,0,1,1
199,1,0,0,0,1,0
200,0,0,1,0,0,0
201,1,1,1,1,1,0
202,0,0,0,0,1,1
203,0,1,1,1,0,0
204,1,0,1,1,1,1
205,1,0,1,0,1,0
206,0,0,1,0,1,0
207,1,0,0,0,0,0
208,1,0,0,0,1,1
209,1,0,0,0,0,1
210,1,1,1,1,0,1
211,0,1,1,0,0,1
212,0,0,0,0,1,1
213,1,1,1,1,1,1
214,1,1,1,0,1,0
215,0,0,1,1,0,1
216,0,0,0,0,0,0
217,0,0,1,1,1,0
218,0,1,0,0,1,1
219,0,1,0,1,0,1
220,1,1,0,0,0,0
221,1,0,1,1,1,0
222,0,1,1,1,1,0
223,0,0,0,1,1,0
224,0,1,0,0,1,0
225,0,0,1,0,0,1
226,0,1,0,0,0,1
227,0,0,0,1,0,0
228,1,0,1,1,0,1
229,1,1,0,0,0,0
230,0,1,0,0,0,0
231,1,1,0,1,1,1
232,0,0,0,0,1,0
233,0,0,1,0,0,1
234,0,1,0,0,0,0
235,0,0,1,0,1,1
236,1,0,1,0,0,1
237,0,0,0,0,0,1
238,0,1,0,1,1,1
239,1,0,0,0,1,0
240,1,1,1,0,0,1
241,1,1,0,0,0,1
242,0,0,0,0,1,0
243,0,0,1,1,0,1
244,0,0,0,1,1,0
245,0,1,1,1,0,0
246,0,0,1,1,1,1
247,0,1,1,1,1,0
248,1,0,1,1,0,0
249,0,0,1,0,0,1
250,0,0,1,1,0,0
251,1,1,1,1,0,1
252,0,1,0,0,1,0
253,1,1,0,1,1,0
254,1,0,0,0,0,1
255,0,1,0,1,0,1
256,0,0,1,1,0,1
257,1,0,0,1,1,0
258,0,1,1,0,0,1
259,1,0,1,1,0,0
260,0,1,1,0,1,0
261,1,1,0,0,1,1
262,1,0,1,1,1,1
263,1,0,0,1,0,1
264,1,1,0,1,0,0
265,0,1,0,1,1,1
266,0,1,0,0,1,0
267,1,1,1,0,0,1
268,0,1,1,1,1,0
269,1,0,1,1,0,1
270,1,1,0,1,0,1
271,0,1,1,0,0,0
272,0,1,0,0,0,0
273,0,1,0,0,1,1
274,0,1,0,0,1,0
275,1,1,0,1,0,0
276,0,1,0,1,1,0
277,0,1,1,1,0,0
278,1,0,1,1,1,0
279,0,0,1,1,1,0
280,1,0,0,0,1,1
281,0,1,1,1,1,1
282,0,0,0,1,0,0
283,0,1,1,1,1,1
284,1,1,1,0,0,1
285,0,0,1,1,0,1
286,1,0,1,1,0,0
287,1,1,1,1,0,1
288,1,1,1,0,0,1
289,0,0,1,0,0,0
290,1,0,0,0,1,1
291,1,0,1,1,0,1
292,0,0,0,1,1,1
293,1,1,1,1,1,0
294,0,0,0,0,0,0
295,1,0,0,1,1,1
296,1,0,0,1,0,0
297,0,0,0,0,0,1
298,1,0,0,1,1,0
299,0,0,1,0,0,1
300,0,1,0,0,1,1
301,0,1,1,1,1,1
302,0,0,1,1,0,1
303,0,1,1,1,1,0
304,0,1,0,0,0,1
305,1,1,1,1,1,0
306,1,0,0,0,0,0
307,0,1,0,1,0,0
308,0,1,1,1,0,0
309,1,1,1,0,0,1
310,0,1,0,0,1,0
311,1,1,0,0,0,0
312,0,1,0,0,0,0
313,1,1,0,0,0,1
314,1,1,1,0,0,1
315,0,1,1,1,0,0
316,0,0,0,0,0,0
317,0,0,0,0,1,1
318,0,0,1,0,1,1
319,0,0,1,0,1,1
320,0,1,0,0,1,0
321,0,1,0,1,0,0
322,0,0,1,0,1,1
323,1,0,1,1,1,0
324,0,1,0,1,1,1
325,1,1,1,0,1,1
326,1,0,0,1,1,1
327,1,0,1,0,1,1
328,0,1,1,0,1,1
329,1,0,1,1,1,1
330,1,0,1,0,0,1
331,1,1,0,0,0,0
332,0,1,1,1,0,0
333,0,1,1,0,0,1
334,0,1,1,1,0,1
335,0,0,0,1,0,0
336,0,0,1,0,1,1
337,0,0,1,0,0,1
338,1,1,0,1,0,0
339,1,0,1,1,1,1
340,0,0,0,0,1,0
341,0,0,1,0,0,1
342,1,0,0,1,0,1
343,0,1,0,1,0,1
344,0,1,1,0,1,0
345,0,1,0,1,1,0
346,0,0,0,1,1,0
347,0,0,1,0,0,1
348,1,0,0,0,1,0
349,1,1,0,0,0,1
350,0,1,0,1,1,1
351,1,1,0,1,1,0
352,0,0,0,1,1,0
353,0,0,0,0,0,1
354,0,0,0,0,0,1
355,1,0,1,0,1,1
356,0,0,1,1,1,1
357,1,1,1,0,1,1
358,0,0,0,0,1,0
359,1,1,0,0,0,0
360,0,1,1,0,1,0
361,1,1,0,1,1,1
362,0,0,1,1,1,0
363,1,0,1,0,0,0
364,0,0,1,0,1,1
365,1,1,0,0,1,1
366,1,1,0,1,1,0
367,0,1,0,1,0,0
368,0,0,1,1,0,0
369,1,0,0,1,0,1
370,0,0,0,0,1,1
371,1,1,1,0,0,0
372,1,0,0,1,1,0
373,0,1,0,0,1,1
374,1,1,0,1,0,1
375,1,0,1,0,0,0
376,1,1,1,0,0,1
377,1,0,1,1,1,1
378,1,1,1,0,1,0
379,1,1,0,0,0,1
380,1,0,1,0,0,0
381,1,0,1,1,0,0
382,1,1,1,1,0,1
383,0,1,0,1,1,1
384,0,0,0,1,1,1
385,0,0,1,1,1,0
386,1,0,0,0,0,1
387,1,1,1,1,0,1
388,1,1,0,0,0,1
389,1,1,0,1,1,0
390,1,0,1,1,1,0
391,1,1,0,0,1,0
392,1,1,0,0,1,0
393,1,0,0,1,1,1
394,0,0,1,1,0,1
395,0,0,1,0,1,0
396,1,1,0,0,1,1
397,1,1,0,0,0,1
398,0,1,0,1,1,1
399,1,1,0,0,0,1
400,0,1,1,1,0,0
401,0,0,0,0,1,0
402,1,0,1,1,1,0
403,0,1,0,0,0,1
404,1,0,1,0,0,0
405,1,0,0,0,1,1
406,0,1,0,0,0,0
407,0,1,1,0,0,1
408,1,0,0,1,1,1
409,0,0,0,1,1,1
410,0,0,1,0,1,0
411,0,0,1,0,1,0
412,1,1,1,0,0,0
413,1,0,0,1,0,1
414,0,0,0,0,0,1
415,1,1,1,1,1,0
416,1,0,0,0,1,0
417,1,0,1,0,0,0
418,1,1,1,0,0,0
419,0,1,0,1,0,1
420,1,1,1,1,0,0
421,1,1,1,0,1,0
422,1,1,1,1,1,0
423,0,0,1,0,1,0
424,0,0,0,0,0,1
425,1,1,0,1,1,0
426,0,0,0,0,1,1
427,1,0,0,0,1,0
428,0,1,0,0,1,0
429,0,1,1,0,1,0
430,1,0,1,0,0,1
431,1,0,0,1,0,0
432,0,0,0,1,0,1
433,0,0,0,0,0,0
434,1,0,1,1,0,1
435,1,0,1,0,0,0
436,0,0,1,1,0,1
437,0,0,0,1,0,1
438,0,1,0,1,1,0
439,1,0,1,1,0,1
440,1,1,0,0,0,0
441,1,0,0,0,1,0
442,1,1,0,0,0,1
443,1,1,1,0,0,1
444,0,1,0,1,0,1
445,0,1,1,1,0,0
446,1,0,0,0,0,0
447,0,1,0,1,0,1
448,0,1,1,1,1,0
449,1,1,1,1,1,1
450,0,0,0,1,0,0
451,1,1,1,0,1,1
452,0,0,0,0,0,1
453,1,0,1,1,0,0
454,1,0,0,0,1,1
455,1,1,0,1,1,1
456,0,1,1,0,1,1
457,1,1,0,1,1,1
458,0,0,0,0,0,0
459,1,1,1,0,1,0
460,0,0,1,0,0,0
461,1,1,0,1,0,0
462,1,0,0,0,0,0
463,0,1,1,1,1,0
464,0,1,0,1,0,0
465,0,0,0,1,0,1
466,1,0,0,1,1,0
467,0,0,1,1,1,0
468,0,0,1,0,0,1
469,0,0,0,0,0,1
470,0,0,1,0,0,0
471,0,0,0,1,0,1
472,0,0,0,1,1,1
473,0,1,0,1,1,0
474,0,0,0,1,0,0
475,1,0,1,0,1,1
476,1,1,1,0,1,1
477,1,0,0,0,0,0
478,0,0,1,1,0,0
479,1,0,0,1,1,0
480,1,1,0,1,1,1
481,1,1,1,1,0,0
482,0,1,1,0,1,0
483,0,0,0,0,1,1
484,1,0,1,0,0,1
485,0,1,1,1,0,1
486,1,0,0,1,1,0
487,1,0,1,0,1,1
488,1,1,0,1,1,1
489,0,0,0,0,0,0
490,1,0,1,0,0,0
491,0,1,0,1,1,0
492,0,0,1,1,0,1
493,1,1,1,0,1,1
494,0,1,0,1,1,1
495,0,1,1,1,1,0
496,1,0,0,1,1,1
497,1,1,0,1,1,0
498,1,0,1,0,1,1
499,0,0,0,0,1,1
500,1,1,1,0,1,1
501,1,1,1,0,1,0
502,1,1,0,0,0,0
503,1,1,0,0,1,0
504,0,0,0,1,0,0
505,0,1,1,1,0,0
506,0,1,0,0,0,1
507,1,0,0,1,0,0
508,0,0,0,0,1,0
509,1,0,1,0,0,0
510,1,1,0,0,0,1
511,0,1,1,0,1,1
512,1,1,1,1,1,1
513,1,1,0,1,1,1
514,0,0,1,0,1,1
515,1,0,1,0,1,0
516,1,1,0,1,1,0
517,1,1,0,1,0,1
518,0,1,1,0,0,0
519,0,0,1,1,0,1
520,1,0,1,0,0,0
521,0,0,1,1,0,1
522,1,0,0,0,1,0
523,1,0,0,0,0,0
524,1,1,0,0,0,0
525,0,1,0,1,0,1
526,0,1,0,0,1,1
527,0,0,1,1,1,1
528,1,0,0,0,1,0
529,0,1,1,1,0,0
530,1,1,0,0,1,0
531,1,0,0,0,0,0
532,1,1,0,1,1,0
533,1,0,0,1,0,1
534,0,0,1,1,1,1
535,1,1,1,0,1,0
536,1,0,1,1,1,0
537,1,1,0,1,0,0
538,0,1,0,1,0,0
539,0,0,1,0,0,1
540,0,0,1,0,0,0
541,0,1,0,0,1,0
542,1,1,0,0,0,1
543,0,0,1,1,0,1
544,1,0,1,1,1,0
545,0,1,0,0,0,0
546,0,1,0,0,0,1
547,1,1,1,1,1,1
548,0,1,0,1,1,1
549,1,1,0,0,1,1
550,1,0,0,1,1,1
551,0,0,0,1,1,1
552,0,0,0,1,0,0
553,1,1,0,1,1,0
554,1,0,1,1,0,1
555,1,1,1,1,1,0
556,1,1,1,0,1,0
557,0,1,1,0,0,0
558,0,1,0,0,1,1
559,1,0,1,1,1,0
560,0,0,0,1,1,0
561,0,0,1,1,1,0
562,1,0,1,0,1,0
563,1,1,0,1,0,0
564,1,1,0,0,1,0
565,0,1,1,1,1,1
566,0,1,1,1,1,1
567,1,1,0,0,0,1
568,0,1,0,0,1,0
569,1,1,1,0,1,0
570,1,0,1,0,1,1
571,0,1,0,0,0,1
572,1,1,1,1,1,1
573,0,1,0,0,0,1
574,1,1,1,0,1,1
575,0,0,1,0,1,1
576,0,0,1,0,1,0
577,0,0,0,1,1,1
578,0,0,1,0,0,1
579,0,1,1,1,1,1
580,0,0,0,1,0,0
581,0,1,0,1,1,1
582,1,0,1,0,1,1
583,0,1,1,1,1,1
584,1,0,1,0,0,1
585,1,0,1,1,1,0
586,0,0,1,1,0,1
587,1,0,1,1,1,1
588,0,0,1,1,0,0
589,0,0,1,1,0,1
590,0,0,0,0,0,1
591,1,1,1,1,0,1
592,1,1,0,1,0,1
593,1,0,1,1,0,1
594,1,1,1,0,0,1
595,1,1,1,1,0,1
596,0,1,0,1,0,0
597,1,1,1,1,1,0
598,1,0,0,0,0,0
599,1,0,0,1,0,0
600,0,1,1,1,0,0
601,1,1,1,0,0,0
602,1,1,0,0,1,1
603,1,0,0,1,0,0
604,0,1,0,1,0,1
605,1,1,1,0,1,0
606,0,0,0,1,1,0
607,1,1,0,1,1,0
608,1,0,0,1,1,0
609,1,1,1,0,0,1
610,0,0,0,1,1,1
611,1,1,1,0,0,0
612,0,0,1,0,1,0
613,0,1,0,0,0,0
614,0,1,0,0,1,0
615,0,1,1,1,1,0
616,1,1,1,1,0,1
617,0,1,0,1,1,0
618,1,1,1,1,0,1
619,1,1,0,1,0,0
620,0,0,0,1,1,1
621,1,1,1,0,0,1
622,1,1,0,1,1,1
623,1,0,0,1,1,1
624,0,0,1,0,0,1
625,1,0,1,1,1,0
626,0,1,1,1,1,1
627,1,1,1,1,1,1
628,0,1,1,0,0,0
629,0,1,1,0,1,1
630,1,0,1,1,0,1
631,0,0,0,0,1,0
632,0,0,1,0,0,0
633,0,0,0,1,0,0
634,1,0,1,1,0,0
635,1,1,0,0,0,0
636,1,1,0,0,1,0
637,1,0,1,1,0,1
638,1,1,1,0,1,0
639,0,1,1,1,0,1
640,0,0,0,1,1,0
641,0,0,0,0,0,0
642,0,1,1,0,1,1
643,0,0,1,0,1,1
644,0,0,0,1,1,0
645,1,0,0,0,1,0
646,1,1,0,1,1,0
647,1,1,0,1,1,1
648,1,1,1,1,0,0
649,1,1,0,0,1,1
650,0,0,0,1,1,0
651,1,1,1,0,1,0
652,0,0,0,1,1,0
653,1,0,0,0,1,0
654,1,1,1,0,0,1
655,0,1,1,0,1,1
656,1,0,0,0,1,1
657,1,1,0,0,0,1
658,1,1,1,1,1,0
659,1,1,0,1,1,1
660,0,0,0,0,1,1
661,0,1,0,0,1,1
662,0,0,1,0,0,1
663,0,1,0,1,1,1
664,0,1,0,1,0,1
665,1,1,1,0,1,1
666,0,1,1,1,1,1
667,0,0,0,1,0,1
668,1,0,0,0,0,1
669,1,0,0,1,1,1
670,0,1,0,0,0,0
671,1,0,1,0,0,1
672,0,0,1,1,1,1
673,1,1,0,0,0,0
674,0,0,0,1,1,0
675,0,0,1,1,0,1
676,1,1,0,1,1,1
677,1,1,0,1,1,1
678,1,1,1,1,0,1
679,1,1,0,1,1,1
680,0,1,0,1,1,1
681,0,0,0,0,1,0
682,0,0,1,0,1,0
683,0,1,0,0,1,1
684,1,0,1,1,1,0
685,1,1,0,1,1,1
686,0,1,1,1,0,1
687,0,1,0,1,1,0
688,0,1,0,0,0,0
689,1,0,0,0,1,1
690,1,1,0,0,1,0
691,0,1,1,0,0,0
692,0,0,0,0,1,0
693,1,0,1,1,0,1
694,1,1,0,1,1,1
695,1,0,0,0,0,0
696,1,0,0,1,0,1
697,1,1,0,0,1,0
698,1,0,0,1,1,1
699,0,1,1,1,0,0
700,1,1,1,0,0,0
701,0,0,1,1,1,0
702,1,1,1,1,1,1
703,1,1,1,1,0,1
704,0,1,0,1,1,1
705,1,0,1,1,0,1
706,0,0,1,1,1,1
707,0,0,0,1,0,1
708,1,1,0,1,0,0
709,1,0,0,0,0,0
710,0,0,1,1,1,1
711,1,0,0,1,1,1
712,0,0,1,1,0,0
713,1,0,0,1,0,1
714,1,0,0,1,0,0
715,1,1,1,0,0,1
716,0,0,0,0,0,1
717,1,0,1,1,1,0
718,0,1,1,1,0,1
719,1,0,0,0,0,0
720,1,1,0,0,1,0
721,0,0,0,0,1,1
722,1,0,1,0,0,1
723,1,0,1,1,1,0
724,1,0,1,1,0,1
725,1,0,1,0,1,0
726,1,0,0,0,1,0
727,1,1,0,1,0,0
728,1,0,1,0,0,0
729,0,0,0,1,0,0
730,0,1,0,1,1,1
731,0,1,0,0,0,0
732,0,1,0,1,1,0
733,1,0,1,0,0,1
734,0,0,0,0,0,1
735,1,1,0,0,0,0
736,1,1,0,1,0,1
737,0,0,1,1,0,0
738,0,1,1,1,0,0
739,1,0,1,1,0,0
740,0,1,0,1,1,1
741,1,1,1,1,1,0
742,1,1,1,0,0,0
743,0,1,1,0,0,1
744,1,1,0,1,1,1
745,0,0,0,0,0,1
746,1,1,1,1,1,0
747,1,1,0,1,0,1
748,1,1,1,0,1,0
749,0,0,1,1,1,1
750,0,0,0,1,1,0
751,1,0,0,1,1,0
752,1,0,0,1,1,1
753,0,0,0,1,1,1
754,0,1,1,1,1,0
755,0,0,0,1,0,1
756,0,1,1,1,0,0
757,1,1,0,1,1,0
758,0,0,0,1,1,1
759,0,1,0,0,1,1
760,1,1,0,1,1,1
761,0,0,0,1,1,0
762,0,0,0,0,1,0
763,1,1,0,1,0,0
764,0,0,1,1,0,1
765,0,1,0,1,1,0
766,0,0,1,1,0,1
767,1,1,1,0,1,1
768,1,1,1,1,1,1
769,0,1,1,0,0,0
770,1,1,1,0,0,1
771,0,1,1,1,0,0
772,0,1,1,0,1,0
773,1,1,0,0,1,1
774,1,1,0,0,0,0
775,1,1,0,0,1,0
776,0,0,1,1,0,0
777,1,0,1,1,1,1
778,1,0,0,1,0,1
779,1,1,1,0,0,0
780,1,0,1,0,0,1
781,1,1,0,1,0,1
782,0,0,1,1,0,1
783,1,1,0,0,0,1
784,1,1,0,1,1,1
785,1,0,0,1,0,1
786,0,0,0,0,1,1
787,1,0,1,0,1,1
788,0,1,1,1,0,0
789,1,1,0,1,1,0
790,1,1,0,0,1,1
791,0,1,0,0,0,0
792,0,0,1,1,1,1
793,0,1,1,1,1,0
794,0,1,0,1,1,1
795,1,0,0,0,1,1
796,1,1,1,0,0,0
797,1,0,1,0,0,0
798,0,1,0,0,0,0
799,0,1,1,1,1,0
800,0,0,0,0,0,1
801,1,1,1,1,1,0
802,1,1,1,1,0,0
803,0,1,0,1,1,1
804,0,1,1,1,1,0
805,0,0,1,1,0,1
806,0,1,0,0,1,1
807,1,1,1,0,0,0
808,0,0,1,1,1,0
809,0,1,1,0,0,0
810,1,1,0,0,1,1
811,0,1,0,1,0,1
812,1,1,1,1,0,1
813,1,1,1,0,0,1
814,0,1,0,1,1,1
815,1,0,0,0,0,1
816,0,1,1,0,0,1
817,1,1,1,1,0,0
818,0,0,0,1,1,1
819,1,1,1,1,0,1
820,0,0,1,1,1,1
821,0,1,1,1,0,0
822,0,1,1,0,1,1
823,1,0,1,1,0,1
824,1,1,0,1,0,1
825,0,0,0,1,0,0
826,1,0,0,0,0,0
827,0,0,0,0,0,1
828,1,1,0,0,1,1
829,1,1,1,1,1,1
830,1,0,0,0,1,0
831,0,0,0,0,1,1
832,1,1,1,1,0,1
833,0,0,1,0,1,1
834,0,1,1,1,0,1
835,1,0,1,1,0,0
836,1,1,0,0,0,0
837,1,0,0,1,0,1
838,1,1,1,0,1,0
839,0,0,1,1,1,0
840,0,0,0,0,0,0
841,1,0,0,0,0,1
842,0,0,1,0,1,0
843,1,1,1,0,0,1
844,0,0,1,0,1,1
845,0,1,0,0,0,0
846,1,1,0,0,1,0
847,0,0,1,1,1,1
848,1,0,0,1,0,0
849,0,0,1,1,1,0
850,0,1,0,1,0,1
851,0,1,1,0,1,1
852,1,0,0,0,1,0
853,1,0,1,0,1,1
854,1,1,0,0,1,0
855,1,0,0,0,0,1
856,0,1,1,0,1,0
857,1,1,0,0,0,1
858,1,1,0,0,1,1
859,1,0,1,1,1,1
860,1,1,0,1,0,0
861,0,1,0,1,1,1
862,0,0,1,1,0,1
863,1,0,1,1,1,1
864,1,0,0,0,0,0
865,0,0,1,0,0,0
866,0,1,0,1,0,1
867,0,0,0,1,1,0
868,1,0,0,1,1,0
869,0,0,0,1,1,0
870,0,1,0,0,1,0
871,0,0,0,0,1,0
872,1,0,0,1,0,0
873,0,1,1,0,0,1
874,1,0,0,1,1,0
875,0,1,0,0,1,0
876,1,1,0,1,0,1
877,0,1,0,0,0,0
878,1,0,0,0,1,0
879,0,0,0,0,0,0
880,1,0,0,1,1,0
881,1,0,0,0,1,1
882,0,1,1,0,1,1
883,1,0,0,1,1,0
884,1,0,0,1,0,0
885,1,0,1,0,1,1
886,0,1,0,0,1,0
887,0,0,1,1,1,0
888,1,0,0,0,1,0
889,1,0,1,1,0,1
890,1,0,1,0,1,1
891,1,1,0,0,0,1
892,0,0,0,1,0,1
893,1,1,1,0,0,0
894,1,0,0,0,1,1
895,1,0,0,1,1,1
896,0,0,1,0,0,1
897,1,1,1,1,0,1
898,0,1,1,0,1,0
899,0,0,0,1,1,0
900,0,0,1,1,1,1
901,1,0,0,1,1,0
902,1,1,0,0,0,0
903,1,1,1,1,1,1
904,1,0,0,0,0,1
905,0,1,0,1,0,1
906,1,0,0,1,0,1
907,1,1,1,0,1,0
908,0,0,0,0,1,1
909,0,0,1,0,1,1
910,1,0,0,0,0,1
911,1,0,1,0,1,1
912,1,0,0,1,1,1
913,0,0,1,1,0,0
914,0,0,0,0,1,0
915,0,0,0,1,1,1
916,1,0,1,0,0,0
917,1,0,1,1,0,1
918,0,0,1,1,1,0
919,1,1,1,1,1,0
920,1,0,0,1,1,0
921,1,1,1,1,1,1
922,1,0,0,1,1,1
923,0,0,0,1,0,0
924,1,0,0,1,0,1
925,0,1,0,0,0,1
926,1,0,1,1,1,1
927,1,0,1,1,1,0
928,0,1,1,1,1,0
929,1,0,1,0,0,0
930,0,0,1,1,1,1
931,0,0,1,1,1,1
932,0,1,1,0,0,0
933,0,0,0,0,1,0
934,0,0,1,0,1,1
935,1,1,1,0,0,1
936,1,0,0,1,1,1
937,0,0,1,0,0,0
938,1,0,1,0,0,0
939,0,1,0,0,1,1
940,1,1,1,0,0,0
941,1,1,1,0,1,0
942,0,1,0,0,0,0
943,0,1,0,0,0,0
944,1,1,0,1,0,0
945,0,0,1,0,0,0
946,0,1,1,0,1,1
947,1,1,1,1,1,0
948,0,0,0,0,1,1
949,0,0,0,1,1,1
950,1,1,1,0,1,1
951,0,0,1,0,0,0
952,1,1,0,0,1,0
953,1,1,1,0,0,1
954,1,1,1,1,0,1
955,1,1,1,1,0,0
956,1,0,0,1,1,1
957,1,0,1,0,0,1
958,0,1,1,0,0,0
959,0,0,0,0,1,1
960,1,1,1,0,1,1
961,1,1,1,1,1,0
962,0,1,1,1,1,1
963,0,1,0,0,1,0
964,0,1,1,1,1,1
965,0,0,1,0,0,1
966,1,0,0,1,1,0
967,1,1,0,0,1,0
968,0,0,0,1,1,1
969,1,1,1,1,1,1
970,1,1,1,1,1,0
971,1,1,0,0,1,1
972,0,1,0,1,0,0
973,1,1,0,0,1,1
974,1,0,0,0,0,0
975,1,0,1,0,0,1
976,0,1,0,0,0,0
977,1,0,1,1,0,1
978,0,0,0,1,0,0
979,0,0,1,0,0,0
980,1,0,1,0,1,1
981,0,0,1,1,0,1
982,0,0,0,1,1,1
983,1,1,1,1,1,0
984,1,0,1,1,1,0
985,0,0,1,0,0,0
986,1,1,1,0,1,0
987,0,0,0,0,1,0
988,0,1,1,1,1,1
989,0,1,1,1,1,1
990,1,0,0,1,1,1
991,1,0,1,1,0,0
992,0,1,1,1,1,1
993,0,1,1,0,1,1
994,1,1,1,1,0,1
995,1,0,1,1,1,1
996,0,0,1,0,0,0
