GameId,Action,Strategy,Sports,Simulations,Racing,Role-playing,Adventure,Fighting,Shooter,Casual,Music/Party
46,0,0,1,0,1,0,0,0,0,0,1
47,1,1,1,0,1,0,1,1,1,1,1
48,0,0,1,0,1,0,1,1,1,0,1
49,0,1,1,1,0,1,1,1,0,0,0
50,1,1,1,1,1,0,0,1,0,1,1
51,1,0,1,1,1,0,0,1,1,0,0
52,1,1,0,1,0,0,0,0,1,0,1
53,0,1,0,1,0,0,0,1,0,0,0
54,1,1,1,1,0,0,0,1,0,0,1
55,1,0,0,0,0,1,1,1,0,0,0
56,0,0,1,0,0,0,1,1,0,1,1
57,1,1,1,1,0,0,1,0,1,1,1
58,1,1,1,1,0,1,0,1,1,0,0
59,0,0,0,0,1,1,1,1,1,0,0
60,0,0,1,0,1,1,1,1,0,0,1
61,1,0,0,1,0,1,0,1,0,0,1
62,0,1,0,0,1,0,0,1,0,0,1
63,1,1,1,1,1,0,1,0,1,1,1
64,1,0,0,0,1,0,0,0,0,1,0
65,0,0,0,0,0,0,1,1,0,0,0
66,0,1,1,0,1,1,0,0,1,0,1
67,0,1,1,0,0,1,0,1,1,0,0
68,1,1,1,0,0,0,1,0,0,0,0
69,1,0,0,1,0,0,0,0,0,0,0
70,1,0,1,1,0,0,0,1,1,1,0
71,1,0,1,0,1,1,1,1,1,0,1
72,0,0,1,0,1,0,0,0,1,0,1
73,0,0,1,0,1,1,1,1,0,1,1
74,0,0,1,1,0,0,0,0,0,1,0
75,1,0,0,0,1,1,0,0,0,0,0
76,0,0,0,1,0,0,1,0,0,0,1
77,1,1,1,1,0,1,0,1,0,0,0
78,1,0,0,0,0,0,1,1,0,1,1
79,0,1,1,0,1,0,0,0,1,1,1
80,0,1,0,0,0,1,1,0,0,1,1
81,0,0,1,1,1,0,1,1,0,1,0
82,1,1,0,1,1,1,1,1,0,1,0
83,0,0,0,0,1,0,1,1,1,0,0
84,0,1,0,0,0,0,1,0,1,0,0
85,0,1,0,1,1,1,1,1,1,1,1
86,1,1,1,1,1,1,1,0,1,0,0
87,1,1,1,1,1,0,1,0,0,0,1
88,0,0,1,0,0,1,1,0,0,1,0
89,1,0,0,0,1,0,0,0,1,0,1
90,0,0,1,1,0,1,0,0,0,0,0
91,0,1,1,1,1,0,0,0,0,1,1
92,1,0,1,1,1,1,1,0,1,1,1
93,0,1,1,1,1,0,0,0,0,1,1
94,1,0,0,0,1,0,1,1,1,0,0
95,0,1,0,0,1,0,1,0,1,1,1
96,1,0,1,1,1,1,1,0,1,0,0
97,1,0,1,1,1,1,0,1,1,1,1
98,1,0,0,0,1,1,0,1,0,0,0
99,0,0,1,0,0,1,1,1,1,1,1
100,1,1,0,1,0,1,1,0,1,0,1
101,1,1,0,0,1,1,1,0,0,0,0
102,0,1,1,0,1,1,1,1,1,1,0
103,1,1,0,0,0,1,1,0,1,1,0
104,1,1,0,0,0,0,0,1,1,1,0
105,1,1,1,0,0,1,0,1,0,0,0
106,1,1,0,1,0,1,1,1,1,0,0
107,1,1,0,1,1,0,1,1,1,0,0
108,0,0,1,0,0,0,0,1,1,1,1
109,1,0,0,0,1,1,1,0,1,0,1
110,0,1,1,1,0,1,1,0,1,0,1
111,0,0,0,0,1,1,1,0,1,0,1
112,1,0,0,0,1,1,0,1,1,1,0
113,1,1,0,0,0,1,1,0,0,1,0
114,0,1,1,0,1,0,0,1,0,0,1
115,0,1,1,1,1,0,1,1,1,0,1
116,1,1,1,1,1,0,1,1,1,0,1
117,1,1,1,0,1,1,0,0,0,1,0
118,0,1,0,1,0,0,0,1,1,1,0
119,1,1,1,0,0,0,1,0,0,0,0
120,0,1,1,0,1,1,0,1,0,0,1
121,0,1,1,1,1,1,0,1,1,1,0
122,1,1,1,1,1,1,1,0,1,1,0
123,0,0,1,0,1,0,0,0,1,0,1
124,0,1,0,0,1,1,1,0,0,0,0
125,1,0,1,0,1,1,1,1,1,0,1
126,0,1,1,0,1,0,0,0,1,0,1
127,1,0,0,0,1,1,1,1,1,0,1
128,0,0,1,1,0,0,1,1,0,1,0
129,0,0,1,1,0,1,0,1,0,0,0
130,1,0,0,0,0,1,0,1,0,1,0
131,1,0,0,0,0,0,1,1,0,0,1
132,1,0,0,0,0,1,1,1,1,1,1
133,1,0,0,0,0,1,0,1,0,1,0
134,1,0,1,0,0,1,1,1,1,0,1
135,0,1,0,0,0,1,0,0,0,1,0
136,1,1,0,1,1,0,0,0,0,1,0
137,1,1,0,1,0,0,0,0,0,0,0
138,1,0,0,1,0,0,1,1,1,0,0
139,0,1,0,0,1,1,1,1,1,1,1
140,1,1,0,0,1,0,0,0,1,0,0
141,1,0,0,0,1,1,1,0,1,0,1
142,0,1,1,1,0,1,1,0,1,1,0
143,1,0,1,0,0,0,0,1,0,1,1
144,0,0,1,0,0,0,1,0,0,1,0
145,0,1,1,0,1,0,1,1,1,0,0
146,0,0,1,0,1,1,1,1,0,0,1
147,0,0,1,1,1,0,0,0,0,1,1
148,0,1,1,1,1,0,0,0,1,1,1
149,1,1,1,0,0,0,0,0,0,0,1
150,0,0,0,1,1,1,0,0,0,1,1
151,1,1,1,0,0,0,1,1,0,1,1
152,0,1,1,0,0,1,0,1,1,1,1
153,0,0,1,1,1,0,1,1,1,1,0
154,1,1,1,1,1,1,1,0,0,0,1
155,0,1,1,0,1,0,0,1,1,0,0
156,1,0,1,1,0,0,0,1,1,1,1
157,1,0,1,0,0,1,0,0,0,1,1
158,1,1,1,1,1,0,0,0,1,1,1
159,0,0,1,0,1,0,1,0,1,0,1
160,1,1,1,1,1,1,0,0,1,1,1
161,0,0,1,0,0,0,1,0,1,0,0
162,1,1,1,0,1,0,1,1,1,0,1
163,0,1,1,1,1,1,0,1,1,0,1
164,1,0,1,0,1,0,1,0,0,1,0
165,0,0,1,0,1,0,1,1,1,0,0
166,0,1,1,1,0,0,0,1,0,0,1
167,0,1,1,1,0,0,1,1,0,1,1
168,0,0,0,1,1,1,0,1,0,1,1
169,1,0,0,0,1,0,1,0,0,1,1
170,0,1,1,0,1,0,0,0,0,1,1
171,0,0,1,0,0,0,1,1,0,0,0
172,0,0,1,0,0,0,0,0,1,1,0
173,0,1,0,1,0,0,1,1,1,1,1
174,0,1,0,1,1,0,0,0,0,0,0
175,0,0,1,1,1,0,0,0,0,0,0
176,0,0,0,0,0,0,1,1,0,0,1
177,0,1,0,1,0,0,0,1,1,1,1
178,1,1,0,1,1,0,1,0,1,0,1
179,1,0,1,0,0,0,1,1,1,0,1
180,1,1,0,1,1,0,0,0,1,1,1
181,1,0,0,1,0,0,0,0,0,0,0
182,1,1,0,1,0,1,0,1,0,0,1
183,1,0,1,1,1,1,1,1,1,1,0
184,1,1,0,0,1,1,1,1,0,1,0
185,0,0,0,1,0,0,0,0,1,0,0
186,1,0,1,1,0,0,1,0,0,0,0
187,1,1,1,1,1,0,0,0,1,1,1
188,1,1,0,1,1,0,0,1,0,1,1
189,0,0,0,0,1,1,1,0,1,1,1
190,1,1,0,0,0,0,1,0,1,0,1
191,1,1,0,1,1,0,1,0,1,1,0
192,1,0,0,1,0,1,1,1,1,0,1
193,0,0,0,0,1,0,0,1,1,0,0
194,0,0,0,0,0,1,0,1,0,0,0
195,0,0,1,1,1,0,1,1,1,1,0
196,1,1,1,0,1,1,1,1,1,1,1
197,1,1,0,1,0,1,0,0,0,0,0
198,0,1,0,1,0,0,0,1,0,1,1
199,0,0,0,0,0,0,1,1,1,0,1
200,0,0,1,1,0,0,0,0,0,0,0
201,0,1,1,1,1,0,0,1,0,0,0
202,1,0,1,0,1,1,0,0,0,1,1
203,0,0,1,1,0,1,0,1,1,0,1
204,1,1,1,1,0,0,1,0,0,1,1
205,0,1,1,0,1,1,0,1,0,1,0
206,1,0,1,0,1,0,0,0,0,0,0
207,1,1,1,0,1,0,1,0,0,0,1
208,0,0,0,1,0,1,1,0,0,0,1
209,1,1,0,0,1,1,0,1,0,0,1
210,1,0,0,1,1,1,0,1,1,1,0
211,1,1,0,1,1,1,1,1,1,0,1
212,0,0,1,0,1,1,0,0,1,1,0
213,0,1,1,1,0,0,0,0,0,0,0
214,0,0,0,0,1,1,1,0,0,1,0
215,0,1,0,1,0,1,0,0,0,0,1
216,1,0,1,1,0,1,1,0,0,1,1
217,0,1,1,1,1,1,0,1,1,1,1
218,1,0,0,1,1,1,1,1,0,1,1
219,1,0,0,0,1,0,1,0,0,0,1
220,1,1,0,1,1,1,1,0,0,0,0
221,1,0,1,0,1,0,0,1,1,1,0
222,0,1,1,1,1,0,1,1,0,1,1
223,0,1,1,1,1,0,1,0,1,0,1
224,1,0,0,0,0,0,0,1,1,0,0
225,0,1,0,0,0,1,0,1,1,1,0
226,1,0,0,1,1,0,1,1,1,1,1
227,0,1,0,0,0,0,1,0,0,1,1
228,1,1,1,1,0,1,1,0,1,1,1
229,1,0,1,1,1,0,1,1,1,1,1
230,0,0,0,0,0,1,1,1,1,0,0
231,1,0,1,1,0,0,0,1,0,0,1
232,1,0,0,1,0,1,0,0,0,1,0
233,1,0,1,1,1,1,0,0,0,0,1
234,0,0,1,1,0,1,1,0,1,0,0
235,1,1,0,0,1,1,0,1,0,1,1
236,0,1,0,0,1,1,1,1,1,0,1
237,0,0,1,0,1,1,1,0,1,1,0
238,1,0,1,1,1,1,1,0,0,1,0
239,1,0,0,0,0,1,0,0,1,1,1
240,0,1,0,1,1,0,1,0,0,1,1
241,1,0,0,1,0,0,0,1,0,0,0
242,1,0,0,1,0,1,0,1,1,1,0
243,0,1,0,1,0,1,0,1,0,1,0
244,0,1,0,1,0,1,1,1,0,0,1
245,0,1,0,0,0,1,1,1,1,1,1
246,1,0,0,0,0,1,0,1,1,1,1
247,0,0,0,1,1,0,1,1,1,1,1
248,0,1,0,0,0,0,1,1,0,0,0
249,1,0,1,0,1,0,1,0,1,0,0
250,1,1,0,0,1,0,0,0,1,1,1
251,0,0,1,0,1,0,1,0,0,1,0
252,0,1,0,1,0,0,1,1,1,0,0
253,1,0,0,1,1,0,0,1,0,1,1
254,0,0,0,1,0,1,1,0,0,1,1
255,0,0,1,0,1,1,1,1,0,0,0
256,1,1,0,1,0,1,0,0,1,0,1
257,1,1,1,0,1,0,1,0,1,1,1
258,0,1,1,1,0,1,1,0,1,1,0
259,1,1,1,1,1,0,1,0,0,0,1
260,1,0,1,0,0,0,1,1,1,1,0
261,0,1,1,0,1,0,0,0,0,1,0
262,1,0,0,0,1,1,1,1,0,0,0
263,0,1,0,1,1,0,0,0,0,1,1
264,0,1,1,0,0,0,1,0,1,1,1
265,1,1,1,0,1,1,1,1,1,1,0
266,1,0,1,1,0,1,0,0,1,0,1
267,1,0,1,1,1,0,0,1,1,0,1
268,0,1,1,1,0,1,1,0,0,0,1
269,1,0,0,0,1,1,1,0,0,1,0
270,0,1,0,1,1,0,1,1,1,1,0
271,1,1,1,1,0,0,1,0,0,1,1
272,1,0,0,1,1,0,1,0,0,0,1
273,0,1,0,1,0,1,1,0,0,0,0
274,1,0,1,0,1,0,0,1,0,0,1
275,1,0,0,0,1,1,1,0,1,1,1
276,1,1,1,1,0,1,0,0,0,1,1
277,1,0,0,1,0,1,1,0,1,1,1
278,0,1,0,1,1,1,1,0,0,1,1
279,1,1,0,1,1,1,0,1,1,0,1
280,0,1,0,0,1,0,0,1,0,0,1
281,0,0,1,0,1,0,1,0,1,0,0
282,0,1,0,0,0,1,0,0,1,1,1
283,0,0,0,0,0,1,0,0,1,0,0
284,1,0,1,1,0,1,1,0,1,0,1
285,0,0,0,1,0,0,1,0,1,0,0
286,1,1,1,0,0,0,0,1,1,1,0
287,1,0,1,0,1,1,1,1,0,0,0
288,0,1,0,1,0,0,1,0,0,1,1
289,0,0,0,1,1,0,1,1,1,1,1
290,1,0,1,0,1,0,1,0,0,0,0
291,1,1,0,1,0,1,1,1,0,1,1
292,0,0,0,1,1,1,1,0,0,0,0
293,1,0,0,0,1,1,0,1,1,0,0
294,0,0,1,0,1,1,1,0,0,0,0
295,1,1,1,1,1,0,0,0,0,1,1
296,0,0,1,1,0,1,0,0,1,1,0
297,0,0,0,0,1,0,0,0,1,0,0
298,0,0,1,1,1,1,0,0,1,0,1
299,1,1,0,1,1,0,0,0,0,1,1
300,1,1,1,0,1,0,0,1,0,1,1
301,0,1,0,1,1,1,1,0,0,0,0
302,0,1,1,1,0,0,0,0,1,1,0
303,1,1,1,1,1,0,1,1,0,0,0
304,0,1,1,0,0,0,1,0,1,1,1
305,1,0,0,0,1,0,1,0,1,1,0
306,0,1,1,1,1,1,1,1,1,1,0
307,0,1,1,0,1,1,1,0,1,0,1
308,1,1,1,1,0,1,1,0,0,0,0
309,1,1,1,1,0,0,1,1,0,0,1
310,1,1,0,0,0,1,1,1,0,0,0
311,0,1,1,1,1,0,0,1,0,0,1
312,0,0,0,1,0,0,0,1,0,0,0
313,0,1,0,0,1,0,1,0,1,1,1
314,1,0,1,1,0,0,0,1,1,0,1
315,1,0,1,1,1,1,1,1,1,1,0
316,0,1,1,1,0,0,1,1,1,0,1
317,0,0,1,1,1,0,0,1,1,0,0
318,0,1,1,0,1,1,0,1,1,0,1
319,0,1,0,1,1,0,0,1,1,0,0
320,0,0,0,1,0,1,0,0,1,1,0
321,0,1,0,1,0,0,1,1,0,0,0
322,0,0,0,0,1,0,0,0,1,0,1
323,1,0,1,1,0,0,0,1,0,1,0
324,0,0,0,0,1,0,0,1,1,0,0
325,0,1,1,0,1,1,0,0,0,0,0
326,0,1,0,1,0,1,0,0,1,0,0
327,1,1,1,0,1,1,0,1,0,1,1
328,0,1,0,1,0,1,0,1,1,0,1
329,0,1,1,0,0,0,0,1,1,1,0
330,0,1,0,0,0,1,1,0,0,0,0
331,0,0,0,1,0,1,0,1,1,1,1
332,0,0,0,0,1,1,1,0,1,0,0
333,0,1,1,0,0,1,0,1,0,1,1
334,1,1,1,1,1,1,0,0,0,0,1
335,0,0,0,1,0,1,1,1,1,0,1
336,1,0,1,1,0,1,1,1,1,0,0
337,1,1,1,1,0,1,0,1,1,0,1
338,1,1,0,0,1,0,0,0,1,1,1
339,0,1,0,0,0,1,0,0,0,0,0
340,0,0,0,1,1,1,1,0,1,0,1
341,0,1,0,0,0,0,1,1,0,0,0
342,0,0,1,0,1,1,0,1,0,1,0
343,1,0,1,0,0,1,0,0,1,1,1
344,0,0,1,0,1,0,0,1,1,1,0
345,0,0,1,1,1,1,0,0,0,0,1
346,0,1,0,1,0,1,0,1,0,0,1
347,0,0,0,0,0,0,1,0,1,0,1
348,0,0,0,0,0,0,1,1,1,0,0
349,1,0,0,1,1,1,1,0,1,0,0
350,0,1,0,0,0,1,1,1,1,0,1
351,1,1,0,1,1,0,1,0,1,1,0
352,1,1,0,1,1,0,1,1,0,1,1
353,1,0,1,0,0,1,0,0,0,1,0
354,1,1,1,1,0,0,0,0,1,1,1
355,0,0,0,0,0,0,1,0,1,1,1
356,1,0,0,0,1,0,1,1,1,0,0
357,0,1,1,0,1,0,1,1,0,1,1
358,1,0,1,0,0,0,0,1,1,1,1
359,0,1,1,0,0,1,1,0,0,1,0
360,1,0,0,0,0,1,1,1,0,1,0
361,1,1,0,1,0,0,0,1,0,0,1
362,0,1,1,1,1,0,0,0,1,1,0
363,1,0,0,0,0,0,1,0,1,0,0
364,0,1,0,1,0,0,0,1,1,1,0
365,1,0,0,1,1,1,1,0,1,1,0
366,1,1,1,0,0,0,1,0,1,1,0
367,1,0,1,1,0,1,1,0,0,0,1
368,0,0,1,1,1,0,1,0,1,0,0
369,0,0,1,1,1,1,0,0,0,0,0
370,0,0,1,0,1,0,0,1,1,1,1
371,0,0,1,1,1,0,0,1,1,1,1
372,1,0,0,0,0,0,1,1,0,1,0
373,0,0,1,1,0,1,0,0,0,1,0
374,1,0,1,1,0,1,0,0,1,1,1
375,1,1,1,1,1,0,1,1,0,0,0
376,0,1,0,0,1,1,1,0,1,1,0
377,1,1,0,1,1,0,1,0,1,0,0
378,0,0,0,0,1,1,0,0,0,1,1
379,0,0,1,0,1,1,1,0,0,0,0
380,0,0,1,1,1,1,0,0,0,1,1
381,0,1,1,1,1,0,0,0,0,1,1
382,0,1,1,0,1,0,0,0,0,0,1
383,1,0,1,0,1,0,0,1,0,0,1
384,0,1,0,0,0,0,1,1,0,1,0
385,0,1,0,0,1,0,1,0,0,0,1
386,1,1,1,1,1,0,0,1,1,0,0
387,1,0,1,0,1,0,1,1,0,1,1
388,0,0,1,1,0,1,0,1,0,0,1
389,0,0,0,1,1,0,1,1,0,0,0
390,1,1,0,1,0,1,0,0,1,0,1
391,1,0,1,1,1,1,1,0,0,0,0
392,1,1,0,0,1,1,0,0,0,1,0
393,1,0,0,0,1,0,0,1,0,0,1
394,0,0,1,0,1,1,0,0,1,0,1
395,1,1,0,0,0,1,1,1,0,1,1
396,1,1,0,0,0,0,0,0,1,0,1
397,1,0,0,1,0,0,1,0,1,1,0
398,1,0,1,1,1,0,1,1,1,1,1
399,0,0,1,1,0,1,0,0,1,1,0
400,1,1,1,1,0,1,0,1,1,0,0
401,0,0,0,1,0,0,1,1,1,1,1
402,0,0,1,1,0,1,0,0,1,0,0
403,1,1,0,1,0,1,0,1,1,0,1
404,0,0,0,1,1,0,0,1,0,0,0
405,1,0,0,0,1,1,1,0,0,1,1
406,0,1,0,1,1,0,1,1,0,1,1
407,0,1,1,1,1,1,0,0,1,1,1
408,0,1,1,0,0,1,1,1,1,0,1
409,0,1,1,1,1,0,0,0,0,0,0
410,0,1,1,1,0,0,1,1,0,0,0
411,1,1,0,1,0,1,1,1,1,1,1
412,1,1,1,0,1,1,0,1,0,0,0
413,0,1,0,1,1,0,0,1,1,1,1
414,1,1,1,1,0,0,1,1,0,1,0
415,1,0,0,1,0,1,0,1,0,1,0
416,1,0,1,0,1,0,1,1,1,0,1
417,0,0,1,1,1,1,0,0,0,0,1
418,1,0,0,1,1,1,1,0,1,0,1
419,0,0,1,1,0,0,0,0,0,1,1
420,1,1,1,1,0,1,1,0,1,1,0
421,1,1,1,0,1,0,1,0,1,0,1
422,0,0,0,0,0,0,0,0,0,1,1
423,0,0,1,1,1,1,0,0,0,1,1
424,1,0,0,0,0,1,1,0,1,1,1
425,1,1,0,1,1,1,1,1,1,0,0
426,0,1,1,0,1,0,1,0,1,1,1
427,0,0,0,1,0,1,1,1,1,1,0
428,1,0,1,1,1,1,0,0,0,1,0
429,1,1,1,1,0,1,0,1,1,1,1
430,1,1,0,1,1,0,0,0,1,0,1
431,1,1,1,1,1,1,0,0,0,0,0
432,1,0,1,1,0,0,1,1,1,1,0
433,1,1,1,1,0,0,1,1,1,0,1
434,1,0,0,1,0,1,1,0,0,1,0
435,1,0,1,0,1,1,0,0,1,1,0
436,0,1,0,0,1,1,0,0,0,1,0
437,0,0,1,1,1,1,0,1,0,0,1
438,0,0,1,1,0,1,1,0,1,1,1
439,0,1,1,1,0,0,0,0,0,0,1
440,1,0,1,0,1,0,0,0,0,0,1
441,0,1,0,0,1,1,1,0,0,0,0
442,1,0,1,0,0,0,1,1,1,0,1
443,1,1,1,0,0,1,0,1,0,0,0
444,1,1,1,0,0,1,1,1,0,1,0
445,0,1,0,1,1,1,0,1,0,1,0
446,0,0,1,0,1,1,0,1,1,0,0
447,1,0,0,1,0,0,0,0,1,0,1
448,1,0,1,0,1,0,1,0,0,0,0
449,1,1,1,1,0,0,0,0,0,0,1
450,1,1,1,0,0,1,0,0,1,0,0
451,0,0,1,1,1,1,0,1,1,0,0
452,0,0,1,1,1,1,1,1,1,1,0
453,0,1,1,1,1,0,1,1,0,0,0
454,0,1,0,1,0,0,1,0,1,1,1
455,0,0,0,0,0,0,1,0,1,1,0
456,1,0,0,1,1,0,0,1,0,0,0
457,0,0,0,1,1,1,1,1,0,0,0
458,0,1,0,0,0,0,1,1,0,0,1
459,0,1,1,0,1,0,0,1,1,1,0
460,1,0,1,0,1,1,0,0,0,0,0
461,0,1,0,1,1,1,0,0,0,1,0
462,1,0,0,1,0,0,1,1,1,0,1
463,0,0,1,1,1,1,1,1,0,1,1
464,0,1,1,1,1,0,1,0,0,0,0
465,1,0,0,1,0,0,0,0,1,1,0
466,1,1,0,0,1,0,1,0,0,1,1
467,0,1,0,1,1,0,0,1,1,0,0
468,1,1,0,0,1,0,0,0,1,0,1
469,1,0,1,1,0,0,1,1,0,0,0
470,1,0,1,1,0,0,1,1,1,1,0
471,1,0,0,1,0,1,0,1,0,1,1
472,0,1,0,0,1,0,0,0,1,0,1
473,1,0,1,1,0,1,0,0,1,1,1
474,1,1,1,1,1,0,1,0,0,0,1
475,0,1,1,1,1,0,0,1,1,1,1
476,1,1,0,1,0,1,1,0,0,1,1
477,1,1,0,0,0,1,1,0,1,0,0
478,1,1,0,1,0,1,0,1,0,0,0
479,0,1,1,0,0,1,1,0,1,1,0
480,0,1,1,1,1,0,0,0,0,1,1
481,0,0,0,1,0,1,0,1,1,0,1
482,1,1,0,1,1,0,0,0,0,0,1
483,1,0,0,0,0,1,0,0,1,1,1
484,1,1,0,1,0,0,1,1,0,1,0
485,0,0,1,0,1,1,0,0,0,0,0
486,1,0,0,1,0,1,1,0,0,1,0
487,0,1,1,1,1,1,1,1,0,0,1
488,0,1,0,1,0,1,1,0,0,1,1
489,0,0,1,1,0,0,1,1,0,0,0
490,1,0,1,0,1,1,0,1,1,0,1
491,0,1,0,0,1,0,1,0,1,1,1
492,1,1,1,0,0,1,1,1,0,0,0
493,1,0,0,1,1,0,1,0,1,0,0
494,0,0,0,1,1,1,1,0,0,1,1
495,1,0,0,0,1,1,0,1,0,0,0
496,1,0,0,0,1,1,1,0,1,0,1
497,1,1,0,1,1,0,1,0,1,0,1
498,0,0,0,0,1,0,0,0,1,0,1
499,0,0,0,1,0,1,0,0,1,0,1
500,1,0,0,1,1,0,0,0,1,0,0
501,0,1,0,1,0,1,1,1,0,1,0
502,0,1,1,1,0,1,1,1,0,1,0
503,0,0,0,0,1,1,0,1,0,1,1
504,0,1,0,1,0,1,0,1,1,1,1
505,0,0,0,1,1,0,1,1,0,1,1
506,1,0,0,1,0,0,0,0,1,1,1
507,0,0,0,0,0,0,0,1,1,1,1
508,1,0,0,1,1,0,0,1,1,1,1
509,0,1,0,0,1,0,0,1,1,1,0
510,1,0,1,1,0,0,0,1,1,1,0
511,0,1,0,0,0,0,1,1,0,0,1
512,1,1,1,0,1,0,1,1,0,1,0
513,1,0,1,1,1,0,1,0,1,1,1
514,0,0,0,0,1,0,0,0,1,1,1
515,1,1,1,0,1,0,1,1,0,1,1
516,0,1,0,1,0,0,0,1,0,1,1
517,0,1,0,0,0,0,0,1,1,1,1
518,1,0,1,0,1,0,1,0,1,0,1
519,0,1,0,0,1,1,0,1,1,1,1
520,0,1,1,0,0,1,0,0,0,1,1
521,0,1,0,1,0,1,1,1,0,1,1
522,0,1,0,1,0,1,1,0,1,0,1
523,0,1,0,0,1,0,0,1,1,1,1
524,0,1,1,0,0,1,0,1,0,1,0
525,0,1,1,0,1,1,1,1,0,0,1
526,0,1,0,1,0,1,1,0,1,0,1
527,1,1,1,0,0,1,1,1,0,1,1
528,1,0,0,1,1,1,1,1,1,0,1
529,1,1,1,1,0,0,0,1,1,1,0
530,1,1,1,1,1,1,1,1,0,1,0
531,0,0,0,1,0,1,1,0,0,0,1
532,0,0,1,1,1,1,0,0,1,1,1
533,1,0,0,1,1,1,0,0,1,0,1
534,1,0,0,0,0,0,1,0,1,1,0
535,1,0,0,0,1,1,1,1,1,0,0
536,0,1,0,1,1,0,1,1,0,0,0
537,0,1,0,0,0,0,0,0,0,0,0
538,1,1,1,0,1,0,0,0,0,1,0
539,1,0,0,0,0,0,0,1,1,0,0
540,0,0,1,0,0,1,0,0,0,0,0
541,0,0,1,1,1,1,0,0,1,1,0
542,1,0,0,1,0,1,0,0,0,1,0
543,1,0,1,0,0,1,1,1,1,0,0
544,1,1,0,0,0,0,0,1,1,1,0
545,1,1,0,1,1,1,1,1,0,1,0
546,1,0,0,1,0,0,1,0,1,0,1
547,1,0,1,0,1,1,0,1,1,1,0
548,1,0,0,1,1,0,0,1,0,1,1
549,0,1,1,0,1,1,0,0,1,1,0
550,1,0,0,1,0,0,0,1,1,1,0
551,1,1,0,0,0,1,1,1,1,0,1
552,0,1,1,0,0,1,1,0,1,0,0
553,0,1,0,0,1,1,0,1,0,1,0
554,1,1,0,1,1,1,1,0,0,1,1
555,1,1,1,0,1,1,1,0,0,1,1
556,0,0,0,0,1,0,1,0,1,0,0
557,1,1,0,1,1,0,0,0,0,0,1
558,1,0,0,0,0,0,1,1,1,1,1
559,0,1,0,1,0,1,0,1,0,0,1
560,1,0,1,1,0,0,1,0,1,1,0
561,1,1,1,0,1,1,1,1,1,1,1
562,0,0,0,0,0,0,0,0,0,1,0
563,0,1,0,0,1,1,0,1,0,1,0
564,1,0,0,1,0,0,1,0,0,1,0
565,1,0,0,1,1,1,0,1,1,1,0
566,1,0,1,1,0,1,0,0,0,0,0
567,0,0,0,1,0,0,1,1,1,1,0
568,1,1,1,1,0,1,1,1,1,1,0
569,1,0,0,0,0,1,1,1,1,0,1
570,0,0,0,0,1,0,1,0,0,0,1
571,1,0,1,0,1,0,1,1,0,0,1
572,1,0,1,0,0,0,0,0,0,0,0
573,1,1,1,1,0,0,1,0,0,1,0
574,0,0,1,0,0,0,1,1,0,0,0
575,1,1,0,0,1,1,1,1,0,0,1
576,1,0,0,0,1,1,1,1,0,1,0
577,1,1,0,0,1,0,0,1,1,1,1
578,0,1,1,1,0,1,1,1,1,0,0
